price,name,size,picture_url,description,season,sex,rating,notes,release_year,concentration
85.00,Acqua di Gio,100,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT46q57hqMeW7Jw60_Sw-j6lJTU-Vo3h6LU9g&s,A fresh and aquatic fragrance.,Summer,['Men'],90,"['Bergamot', 'Neroli', 'Jasmine']",1996,Eau de Toilette
120.00,Chanel No. 5,50,https://www.fragrantica.com/images/perfume/2/2.jpg,A timeless classic with floral notes.,All Year,['Women'],95,"['Ylang-Ylang', 'Rose', 'Jasmine']",1921,Eau de Parfum
75.00,Dior Sauvage,100,https://www.fragrantica.com/images/perfume/3/3.jpg,A bold and spicy fragrance.,All Year,['Men'],92,"['Bergamot', 'Pepper', 'Ambroxan']",2015,Eau de Toilette
60.00,Versace Eros,100,https://www.perfumenz.co.nz/cdn/shop/products/versace-eros-edp-100ml_1024x1024.png?v=1615934804,A vibrant and sensual fragrance.,Summer,['Men'],88,"['Mint', 'Lemon', 'Vanilla']",2012,Eau de Toilette
100.00,Marc Jacobs Daisy,50,https://www.fragrantica.com/images/perfume/5/5.jpg,A playful and floral scent.,Spring,['Women'],89,"['Strawberry', 'Violet Leaves', 'Jasmine']",2007,Eau de Toilette
150.00,Tom Ford Black Orchid,100,https://www.fragrantica.com/images/perfume/6/6.jpg,A luxurious and dark fragrance.,Fall,['Unisex'],93,"['Black Truffle', 'Bergamot', 'Black Orchid']",2006,Eau de Parfum
95.00,Yves Saint Laurent Black Opium,90,https://www.fragrantica.com/images/perfume/7/7.jpg,A warm and sweet fragrance.,Fall,['Women'],91,"['Coffee', 'Vanilla', 'White Flowers']",2014,Eau de Parfum
70.00,Calvin Klein CK One,100,https://www.fragrantica.com/images/perfume/8/8.jpg,A refreshing unisex fragrance.,Summer,['Unisex'],85,"['Pineapple', 'Green Tea', 'Papaya']",1994,Eau de Toilette
80.00,Gucci Guilty,90,https://www.fragrantica.com/images/perfume/9/9.jpg,A bold and provocative fragrance.,All Year,['Women'],87,"['Pink Pepper', 'Lilac', 'Patchouli']",2010,Eau de Toilette
110.00,Creed Aventus,100,https://www.fragrantica.com/images/perfume/10/10.jpg,A fruity and smoky fragrance.,All Year,['Men'],94,"['Pineapple', 'Birch', 'Musk']",2010,Eau de Parfum
95.00,Paco Rabanne 1 Million,100,https://www.fragrantica.com/images/perfume/11/11.jpg,A spicy and woody fragrance.,Fall,['Men'],90,"['Grapefruit', 'Mint', 'Leather']",2008,Eau de Toilette
